path,cyclomatic,branches,branches_without_null_coalescing,null_coalescing,lines
c-sharp-state/src/TimeEntry.Domain/Billing.cs,1,0,0,0,15
c-sharp-state/src/TimeEntry.Domain/Capabilities.cs,7,6,6,0,48
c-sharp-state/src/TimeEntry.Domain/Catalog.cs,1,0,0,0,17
c-sharp-state/src/TimeEntry.Domain/CommandResult.cs,1,0,0,0,21
c-sharp-state/src/TimeEntry.Domain/Commands.cs,50,49,49,0,361
c-sharp-state/src/TimeEntry.Domain/DailyAttestation.cs,3,2,2,0,32
c-sharp-state/src/TimeEntry.Domain/Diagnostics.cs,1,0,0,0,49
c-sharp-state/src/TimeEntry.Domain/Evidence.cs,1,0,0,0,26
c-sharp-state/src/TimeEntry.Domain/Ids.cs,7,6,6,0,78
c-sharp-state/src/TimeEntry.Domain/Label.cs,1,0,0,0,11
c-sharp-state/src/TimeEntry.Domain/Persistence.cs,7,6,6,0,111
c-sharp-state/src/TimeEntry.Domain/Person.cs,1,0,0,0,7
c-sharp-state/src/TimeEntry.Domain/Project.cs,1,0,0,0,24
c-sharp-state/src/TimeEntry.Domain/TimeEntry.cs,1,0,0,0,67
c-sharp-state/src/TimeEntry.Domain/TimeOfDay.cs,5,4,4,0,55
c-sharp-state/src/TimeEntry.Domain/Timer.cs,16,15,15,0,147
c-sharp-state/src/TimeEntry.Domain/WeekDocument.cs,1,0,0,0,26
c-sharp-state/tests/TimeEntry.Domain.Specs/Program.cs,15,14,13,1,860
TOTAL,120,102,101,1,1955
