path,cyclomatic,branches,declared_cases,control_flow_branches,lines
f-sharp-state/src/TimeEntry.Domain/Billing.fs,2,1,0,1,14
f-sharp-state/src/TimeEntry.Domain/Capabilities.fs,13,12,7,5,28
f-sharp-state/src/TimeEntry.Domain/Catalog.fs,1,0,0,0,17
f-sharp-state/src/TimeEntry.Domain/CommandResult.fs,3,2,2,0,13
f-sharp-state/src/TimeEntry.Domain/Commands.fs,84,83,0,83,496
f-sharp-state/src/TimeEntry.Domain/DailyAttestation.fs,3,2,0,2,30
f-sharp-state/src/TimeEntry.Domain/Diagnostics.fs,24,23,23,0,40
f-sharp-state/src/TimeEntry.Domain/Evidence.fs,10,9,9,0,24
f-sharp-state/src/TimeEntry.Domain/Ids.fs,2,1,0,1,55
f-sharp-state/src/TimeEntry.Domain/Label.fs,1,0,0,0,11
f-sharp-state/src/TimeEntry.Domain/Persistence.fs,24,23,12,11,83
f-sharp-state/src/TimeEntry.Domain/Person.fs,1,0,0,0,9
f-sharp-state/src/TimeEntry.Domain/Project.fs,3,2,2,0,25
f-sharp-state/src/TimeEntry.Domain/TimeEntry.fs,4,3,3,0,61
f-sharp-state/src/TimeEntry.Domain/TimeOfDay.fs,8,7,0,7,38
f-sharp-state/src/TimeEntry.Domain/Timer.fs,28,27,7,20,120
f-sharp-state/src/TimeEntry.Domain/TimerSegment.fs,1,0,0,0,14
f-sharp-state/src/TimeEntry.Domain/WeekDocument.fs,1,0,0,0,26
f-sharp-state/tests/TimeEntry.Domain.Specs/Program.fs,46,45,0,45,661
TOTAL,259,240,65,175,1765
